,name,rating,review,company_type,Head_Quarters,Company_Age,No_of_Employee
0,TCS,3.9,(26.3k Reviews),Public,"Mumbai,Maharashtra + 203 more",53 years old,1 Lakh+ employees (India)
1,Accenture,4.0,(20.5k Reviews),Public,"Dublin,Dublin + 119 more",32 years old,1 Lakh+ employees (India)
2,Cognizant,3.9,(18.7k Reviews),Private,"Teaneck,New Jersey + 66 more",27 years old,1 Lakh+ employees (India)
3,ICICI Bank,4.0,(18.5k Reviews),Public,"Mumbai,Maharashtra + 896 more",27 years old,50k-1 Lakh employees (India)
4,HDFC Bank,4.0,(16.2k Reviews),Public,"Mumbai,Maharashtra + 955 more",27 years old,1 Lakh+ employees (India)
5,Wipro,3.8,(14.8k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 217 more",76 years old,1 Lakh+ employees (India)
6,Capgemini,3.7,(14k Reviews),Public,Paris + 58 more,54 years old,1 Lakh+ employees (India)
7,HCL Technologies,3.8,(13.7k Reviews),Public,"Noida,Uttar Pradesh + 135 more",45 years old,1 Lakh+ employees (India)
8,Infosys,3.9,(13.4k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 95 more",40 years old,1 Lakh+ employees (India)
9,Tech Mahindra,3.6,(12.8k Reviews),Public,"Pune,Maharashtra + 133 more",35 years old,50k-1 Lakh employees (India)
10,Genpact,4.0,(11.9k Reviews),Private,"New York,New York + 49 more",24 years old,50k-1 Lakh employees (India)
11,Axis Bank,3.8,(11.5k Reviews),Public,"Mumbai,Maharashtra + 868 more",28 years old,50k-1 Lakh employees (India)
12,Vodafone Idea,4.2,(11.4k Reviews),Public,"Gandhinagar,Gujrat + 504 more",3 years old,10k-50k employees (India)
13,L&T,4.0,(11.1k Reviews),Public,"Mumbai,Maharashtra + 431 more",83 years old,10k-50k employees (India)
14,Reliance jio,4.0,(10.9k Reviews),Public,"Navi Mumbai,Maharashtra + 783 more",14 years old,10k-50k employees (India)
15,IBM,4.1,(10.7k Reviews),Public,New York + 95 more,110 years old,50k-1 Lakh employees (India)
16,Concentrix Corpora...,4.1,(10.5k Reviews),Public,"Fremont,California + 51 more",38 years old,10k-50k employees (India)
17,Amazon,4.2,(9.5k Reviews),Private,"Seattle,Washington + 269 more",17 years old,10k-50k employees (India)
18,HDB Financial Serv...,4.0,(9.4k Reviews),Private,"Ahmedabad,Gujrat + 621 more",14 years old,1 Lakh+ employees (India)
19,Kotak Mahindra Ban...,3.8,(7.4k Reviews),Public,"Mumbai,Maharashtra + 406 more",18 years old,10k-50k employees (India)
20,Tata Motors,4.1,(7.2k Reviews),Public,"Pune,Maharashtra + 344 more",76 years old,50k-1 Lakh employees (India)
21,Bharti Airtel,4.1,(7k Reviews),Public,"Gurgaon/Gurugram,Haryana + 411 more",26 years old,5k-10k employees (India)
22,Teleperformance,3.6,(7k Reviews),Private,Paris + 87 more,43 years old,50k-1 Lakh employees (India)
23,Reliance Industrie...,4.0,(6.6k Reviews),Public,"Navi Mumbai,Maharashtra + 321 more",48 years old,1 Lakh+ employees (India)
24,Deloitte,3.9,(5.5k Reviews),Private,"New York,New York + 95 more",176 years old,10k-50k employees (India)
25,Mahindra & Mahindr...,4.2,(5.2k Reviews),Public,"Mumbai,Maharashtra + 337 more",76 years old,10k-50k employees (India)
26,IndusInd Bank,3.7,(5.1k Reviews),Public,"Gurgaon/Gurugram,Haryana + 458 more",27 years old,10k-50k employees (Global)
27,Hinduja Global Sol...,3.9,(4.9k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 63 more",21 years old,10k-50k employees (India)
28,Samsung,4.2,(4.6k Reviews),Private,"Suwon-Si,Gyeonggi-Do + 376 more",83 years old,50k-1 Lakh employees (India)
29,WNS,3.7,(4.5k Reviews),Private,"Mumbai,Maharashtra + 18 more",25 years old,10k-50k employees (Global)
30,Maruti Suzuki,4.1,(4.5k Reviews),Public,"New Delhi,Delhi + 329 more",38 years old,10k-50k employees (India)
31,Reliance Retail,4.1,(4.5k Reviews),Private,"Navi Mumbai,Maharashtra + 336 more",15 years old,1 Lakh+ employees (India)
32,Indian Army,4.7,(4.5k Reviews),"New Delhi,Delhi + 247 more",126 years old,1 Lakh+ employees (Global),
33,DXC Technology,3.5,(4.3k Reviews),Public,Virginia + 45 more,30 years old,1 Lakh+ employees (Global)
34,Infosys BPM,4.0,(4k Reviews),"Bangalore/Bengaluru,Karnataka + 32 more",19 years old,10k-50k employees (India),
35,Ericsson,4.2,(3.9k Reviews),Private,"Kista,Stockholm + 119 more",145 years old,10k-50k employees (India)
36,Bajaj Finserv,4.0,(3.8k Reviews),Public,Pune + 526 more,14 years old,10k-50k employees (India)
37,HSBC,4.1,(3.7k Reviews),Private,"Pune,Maharashtra + 47 more",19 years old,10k-50k employees (India)
38,Startek,3.6,(3.7k Reviews),"Mumbai,Maharashtra + 43 more",4 years old,1k-5k employees (India),
39,Ernst & Young,3.7,(3.7k Reviews),Private,London + 53 more,19 years old,50k-1 Lakh employees (India)
40,Dr. Reddy's,4.2,(3.7k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 116 more",35 years old,10k-50k employees (India)
41,Jana Small Finance...,3.9,(3.6k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 273 more",15 years old,10k-50k employees (Global)
42,Conneqt Business S...,3.8,(3.6k Reviews),"Mumbai,Maharashtra + 128 more",19 years old,10k-50k employees (India),
43,Cipla Pharmaceutic...,4.0,(3.6k Reviews),Public,"Mumbai,Maharashtra + 169 more",86 years old,10k-50k employees (India)
44,ICICI Prudential L...,4.1,(3.6k Reviews),Public,"Mumbai,Maharashtra + 361 more",21 years old,10k-50k employees (India)
45,Sutherland Global ...,3.8,(3.5k Reviews),Private,"Pittsford,New York + 28 more",35 years old,10k-50k employees (India)
46,Mphasis,3.7,(3.3k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 35 more",21 years old,10k-50k employees (Global)
47,Bajaj Allianz Life...,4.1,(3.3k Reviews),Private,Pune + 374 more,20 years old,10k-50k employees (India)
48,Home Credit Financ...,4.2,(3.3k Reviews),Private,Gurugram + 95 more,9 years old,10k-50k employees (India)
49,Lupin,4.1,(3.2k Reviews),Public,"Mumbai,Maharashtra + 116 more",53 years old,10k-50k employees (India)
50,IDFC FIRST Bank,3.8,(3.2k Reviews),Public,"Mumbai,Maharashtra + 262 more",11 years old,10k-50k employees (India)
51,Yes Bank,3.9,(3.2k Reviews),Public,"Mumbai,Maharashtra + 294 more",17 years old,10k-50k employees (India)
52,Intelenet Global S...,3.7,(3.2k Reviews),Private,"Mumbai,Maharashtra + 55 more",21 years old,10k-50k employees (India)
53,Asian Paints,4.3,(3.2k Reviews),Public,"Mumbai,Maharashtra + 264 more",79 years old,5k-10k employees (India)
54,HDFC LIFE,4.1,(3.1k Reviews),"Mumbai,Maharashtra + 349 more",21 years old,10k-50k employees (India),
55,Hewlett-Packard En...,4.3,(3k Reviews),Private,"Palo Alto,California + 76 more",82 years old,10k-50k employees (India)
56,Reliance Communica...,4.0,(2.9k Reviews),Public,"Navi Mumbai,Maharashtra + 340 more",19 years old,1k-5k employees (Global)
57,Zydus Cadila,4.1,(2.9k Reviews),Public,"Ahmedabad, India + 122 more",69 years old,10k-50k employees (India)
58,NTT DATA,3.8,(2.9k Reviews),Private,"Chiyoda City,Tokyo + 29 more",33 years old,10k-50k employees (India)
59,OPPO,4.0,(2.9k Reviews),Public,"Dongguan,Guangdong + 278 more",17 years old,10k-50k employees (India)
60,Future Group,4.2,(2.8k Reviews),Private,"Mumbai,Maharashtra + 181 more",8 years old,50k-1 Lakh employees (India)
61,Bajaj Finance,4.2,(2.8k Reviews),Private,"Pune,Maharashtra + 512 more",34 years old,1k-5k employees (India)
62,Hindustan Unilever...,4.3,(2.8k Reviews),Public,"Mumbai,Maharashtra + 283 more",88 years old,10k-50k employees (India)
63,ITC,4.0,(2.8k Reviews),Public,"Kolkata,West Bengal + 178 more",46 years old,10k-50k employees (India)
64,EXL Service,3.8,(2.8k Reviews),Private,"New York,New York + 25 more",22 years old,10k-50k employees (India)
65,Ujjivan Small Fina...,4.1,(2.7k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 315 more",4 years old,10k-50k employees (India)
66,Shriram Transport ...,4.2,(2.7k Reviews),Public,"Mumbai,Maharashtra + 535 more",42 years old,10k-50k employees (India)
67,Mahindra & Mahindr...,4.3,(2.7k Reviews),Public,"Mumbai,Maharashtra + 476 more",30 years old,10k-50k employees (India)
68,Shapoorji Pallonji,4.2,(2.7k Reviews),Private,"Mumbai,Maharashtra + 120 more",156 years old,1k-5k employees (India)
69,Ashok Leyland,4.2,(2.7k Reviews),Public,"Chennai,Tamil Nadu + 162 more",73 years old,10k-50k employees (India)
70,Apollo Hospitals,4.1,(2.7k Reviews),Public,"Chennai,Tamil Nadu + 140 more",38 years old,50k-1 Lakh employees (Global)
71,UltraTech Cement,4.2,(2.7k Reviews),Public,"Mumbai,Maharashtra + 265 more",38 years old,10k-50k employees (India)
72,Sun Pharmaceutical...,4.0,(2.7k Reviews),Public,Mumbai + 124 more,38 years old,10k-50k employees (India)
73,Udaan,4.2,(2.7k Reviews),Private,Bangalore + 254 more,5 years old,1k-5k employees (India)
74,Paytm,3.7,(2.6k Reviews),Private,Noida + 195 more,11 years old,1k-5k employees (India)
75,IIFL,3.8,(2.6k Reviews),Public,"Mumbai,Maharashtra + 358 more",26 years old,5k-10k employees (India)
76,Nokia,4.3,(2.6k Reviews),Private,"Espoo,Southern Finland + 157 more",156 years old,10k-50k employees (India)
77,Wipro BPS,3.8,(2.5k Reviews),Bengaluru + 29 more,21 years old,10k-50k employees (Global),
78,Vivo,4.1,(2.5k Reviews),Private,"Gurgaon/Gurugram,Haryana + 278 more",12 years old,5k-10k employees (India)
79,Aurobindo Pharma,4.1,(2.5k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 36 more",35 years old,1k-5k employees (India)
80,Larsen & Toubro In...,3.9,(2.5k Reviews),Public,"Mumbai,Maharashtra + 69 more",25 years old,10k-50k employees (India)
81,Oyo Rooms,3.5,(2.5k Reviews),Private,Gurgaon + 96 more,8 years old,1k-5k employees (India)
82,PwC,3.6,(2.4k Reviews),Partnership,London + 50 more,23 years old,5k-10k employees (India)
83,TVS Motor,4.1,(2.4k Reviews),Public,"Chennai,Tamil Nadu + 206 more",42 years old,5k-10k employees (India)
84,Siemens,4.2,(2.4k Reviews),Public,Munich + 85 more,29 years old,1k-5k employees (India)
85,eClerx,3.6,(2.3k Reviews),Public,"Mumbai,Maharashtra + 14 more",21 years old,1 Lakh+ employees (Global)
86,JP Morgan Chase,4.1,(2.2k Reviews),Private,"New York,New York + 15 more",21 years old,10k-50k employees (India)
87,Max Life Insurance,4.2,(2.2k Reviews),"Gurgaon/Gurugram,Haryana + 229 more",21 years old,10k-50k employees (India),
88,Hero MotoCorp,4.2,(2.2k Reviews),Public,"Gurgaon/Gurugram,Haryana + 219 more",37 years old,5k-10k employees (India)
89,Wipro Consumer Ca...,3.8,(2.2k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 59 more",76 years old,5k-10k employees (Global)
90,Cyient,3.6,(2.2k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 24 more",30 years old,10k-50k employees (Global)
91,KPMG,3.7,(2.2k Reviews),"Amstelveen,North Holland + 42 more",34 years old,10k-50k employees (India),
92,Axis Direct,4.0,(2.2k Reviews),Private,"Mumbai,Maharashtra + 259 more",10 years old,1k-5k employees (India)
93,Atos Syntel,3.7,(2.2k Reviews),Private,"Troy,Michigan + 14 more",41 years old,10k-50k employees (India)
94,Hyundai Motor,4.3,(2.2k Reviews),Private,Seoul + 190 more,54 years old,5k-10k employees (India)
95,JustDial,3.7,(2.1k Reviews),Public,"Mumbai,Maharashtra + 108 more",25 years old,10k-50k employees (India)
96,Bandhan Bank,3.9,(2.1k Reviews),Public,"Kolkata,West Bengal + 385 more",20 years old,10k-50k employees (Global)
97,JLL,4.2,(2.1k Reviews),Private,"Mumbai,Maharashtra + 51 more",24 years old,10k-50k employees (India)
98,Oracle,3.8,(2.1k Reviews),Public,"Redwood City,California + 24 more",44 years old,10k-50k employees (India)
99,Bosch,4.2,(2.1k Reviews),Public,"Gerlingen,Baden-Wuerttemberg + 72 more",135 years old,10k-50k employees (India)
100,Tata Projects,4.2,(2.1k Reviews),Public,"Mumbai,Maharashtra + 160 more",42 years old,1k-5k employees (Global)
101,Dominos Pizza,4.2,(2.1k Reviews),Public,"Ypsilanti,Michigan + 177 more",61 years old,1k-5k employees (India)
102,Fidelity National ...,4.0,(2.1k Reviews),Private,"Jacksonville,Florida + 26 more",16 years old,10k-50k employees (India)
103,JSW Steel,3.9,(2.1k Reviews),Public,"Mumbai,Maharashtra + 76 more",39 years old,10k-50k employees (India)
104,Aditya Birla Fashi...,4.3,(2.1k Reviews),Private,Mumbai + 168 more,6 years old,10k-50k employees (India)
105,Godrej & Boyce Man...,4.0,(2.1k Reviews),Private,"Mumbai,Maharashtra + 110 more",124 years old,10k-50k employees (Global)
106,Mindtree,4.0,(2k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 19 more",22 years old,10k-50k employees (India)
107,First Source,3.9,(2k Reviews),Public,"Mumbai,Maharashtra + 39 more",20 years old,10k-50k employees (Global)
108,Viatris,4.2,(2k Reviews),"Canonsburg,Pennsylvania + 54 more",60 years old,1k-5k employees (India),
109,UnitedHealth,4.2,(2k Reviews),Private,"Minnetonka,Minnesota + 11 more",44 years old,10k-50k employees (India)
110,AU Small Finance B...,3.9,(2k Reviews),Private,"Jaipur,Rajasthan + 227 more",25 years old,10k-50k employees (India)
111,BYJU'S,2.8,(2k Reviews),Private,Bangalore + 87 more,10 years old,10k-50k employees (India)
112,Dell,4.1,(1.9k Reviews),Private,"Round Rock,Texas + 67 more",37 years old,50k-1 Lakh employees (India)
113,iEnergizer,3.4,(1.9k Reviews),Private,"Noida,Uttar Pradesh + 13 more",21 years old,10k-50k employees (Global)
114,TATA Steel,4.1,(1.9k Reviews),Public,"Mumbai,Maharashtra + 96 more",114 years old,10k-50k employees (India)
115,Fullerton India,4.2,(1.9k Reviews),Private,Mumbai + 334 more,14 years old,10k-50k employees (India)
116,Manappuram Finance,4.0,(1.9k Reviews),Public,"Thrissur/Trichur,Kerala + 299 more",72 years old,10k-50k employees (Global)
117,Delhivery,4.2,(1.9k Reviews),Private,Delhi + 326 more,10 years old,10k-50k employees (India)
118,Omega Healthcare,3.7,(1.9k Reviews),Private,Florida + 19 more,17 years old,1k-5k employees (India)
119,Hexaware Technolog...,3.5,(1.9k Reviews),Public,"Mumbai,Maharashtra + 22 more",31 years old,10k-50k employees (India)
120,Muthoot Group,3.8,(1.9k Reviews),Public,"Kochi/Cochin,Kerala + 299 more",134 years old,1k-5k employees (India)
121,Simplex Infrastruc...,3.8,(1.8k Reviews),Public,"Kolkata,West Bengal + 109 more",97 years old,1k-5k employees (India)
122,Honda,4.2,(1.8k Reviews),Private,"Greater Noida,Uttar Pradesh + 163 more",36 years old,5k-10k employees (India)
123,Motherson Sumi Sys...,3.9,(1.8k Reviews),Public,"Noida,Uttar Pradesh + 53 more",35 years old,1k-5k employees (India)
124,Royal Enfield,4.2,(1.8k Reviews),Private,"Gurgaon/Gurugram,Haryana + 186 more",66 years old,1k-5k employees (India)
125,Wells Fargo India,4.1,(1.8k Reviews),Private,"San Francisco,California + 10 more",23 years old,10k-50k employees (India)
126,Megha Engineering ...,4.3,(1.8k Reviews),Private,"Hyderabad/Secunderabad,Telangana + 138 more",32 years old,5k-10k employees (India)
127,SBI Cards & Paymen...,3.9,(1.8k Reviews),Public,"Gurgaon/Gurugram,Haryana + 190 more",23 years old,1k-5k employees (India)
128,Wipro Enterprises ...,3.8,(1.8k Reviews),Bangalore + 56 more,76 years old,1 Lakh+ employees (Global),
129,Nagarjuna Construc...,4.1,(1.8k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 146 more",23 years old,5k-10k employees (Global)
130,BNY Mellon,4.0,(1.8k Reviews),Private,"New York City,New York + 6 more",17 years old,10k-50k employees (India)
131,State Bank of Indi...,3.9,(1.8k Reviews),"Mumbai,Maharashtra + 260 more",215 years old,1 Lakh+ employees (India),
132,JBM Group,4.0,(1.8k Reviews),Public,"Gurgaon/Gurugram,Haryana + 66 more",38 years old,10k-50k employees (Global)
133,Sodexo,4.1,(1.8k Reviews),Private,Issy Les Moulineaux + 94 more,13 years old,5k-10k employees (India)
134,Arvind Group,4.1,(1.8k Reviews),Public,"Ahmedabad,Gujrat + 124 more",90 years old,10k-50k employees (India)
135,Muthoot Fincorp,3.9,(1.8k Reviews),Private,"Trivandrum/Thiruvananthapuram,Kerala + 334 more",134 years old,10k-50k employees (Global)
136,Tata Communication...,4.1,(1.7k Reviews),Public,"Mumbai,Maharashtra + 85 more",35 years old,10k-50k employees (India)
137,LG Electronics,4.1,(1.7k Reviews),Public,"Seoul,Seoul + 163 more",63 years old,5k-10k employees (India)
138,Hindustan Coca Col...,4.4,(1.7k Reviews),Private,Bangalore + 146 more,24 years old,1k-5k employees (India)
139,Flex,4.0,(1.7k Reviews),Private,San Jose + 29 more,52 years old,10k-50k employees (India)
140,Hetero Drugs,4.0,(1.7k Reviews),Private,"Hyderabad/Secunderabad,Telangana + 28 more",28 years old,1k-5k employees (India)
141,Abbott Healthcare,4.2,(1.7k Reviews),Public,"Illinois City,Illinois + 126 more",30 years old,10k-50k employees (India)
142,Bajaj Auto,3.9,(1.7k Reviews),Public,"Pune,Maharashtra + 166 more",76 years old,201-500 employees (India)
143,Gati kwe,4.0,(1.7k Reviews),Private,"Hyderabad/Secunderabad,Telangana + 135 more",9 years old,1k-5k employees (India)
144,Cgi Group,4.0,(1.7k Reviews),Private,"Montreal,Quebec + 8 more",30 years old,10k-50k employees (India)
145,Equitas Small Fina...,4.0,(1.7k Reviews),Private,"Chennai,Tamil Nadu + 243 more",14 years old,1k-5k employees (India)
146,John Deere,4.3,(1.7k Reviews),Private,"Moline,Illinois + 80 more",20 years old,1k-5k employees (India)
147,L & T Finance,4.1,(1.7k Reviews),Public,"Mumbai,Maharashtra + 311 more",27 years old,5k-10k employees (India)
148,Shoppers Stop,4.3,(1.7k Reviews),Public,"Mumbai,Maharashtra + 53 more",30 years old,10k-50k employees (India)
149,Ford Motor,4.5,(1.7k Reviews),Public,"Dearborn,Michigan + 90 more",118 years old,5k-10k employees (India)
150,Subros,3.9,(1.7k Reviews),Public,"Noida,Uttar Pradesh + 29 more",36 years old,1k-5k employees (Global)
151,Lava International,4.1,(1.6k Reviews),Public,"Noida,Uttar Pradesh + 190 more",12 years old,1k-5k employees (India)
152,McDonald's,4.2,(1.6k Reviews),Private,"Chicago,Illinois + 101 more",66 years old,5k-10k employees (India)
153,Tata Teleservices,4.2,(1.6k Reviews),Public,"Mumbai,Maharashtra + 152 more",25 years old,1 Lakh+ employees (Global)
154,Alembic Pharmaceut...,4.2,(1.6k Reviews),Public,"Vadodara/Baroda,Gujrat + 102 more",114 years old,5k-10k employees (India)
155,Quess,4.0,(1.6k Reviews),Public,Bangalore + 222 more,14 years old,1k-5k employees (India)
156,SBI Life Insurance...,3.8,(1.6k Reviews),Public,"Mumbai,Maharashtra + 342 more",20 years old,10k-50k employees (Global)
157,Suzlon Group,4.1,(1.6k Reviews),Public,"Pune,Maharashtra + 69 more",26 years old,5k-10k employees (India)
158,CBRE,4.2,(1.6k Reviews),Private,"Los Angeles,California + 39 more",115 years old,5k-10k employees (India)
159,D Mart,4.1,(1.6k Reviews),Private,"Mumbai,Maharashtra + 114 more",21 years old,1k-5k employees (Global)
160,Cholamandalam Inve...,4.2,(1.6k Reviews),Private,"Chennai,Tamil Nadu + 386 more",43 years old,1k-5k employees (India)
161,NatWest Group,4.0,(1.6k Reviews),Chennai + 16 more,10k-50k employees (India),,
162,IQVIA,4.2,(1.6k Reviews),Partnership,"Danbury,Connecticut + 32 more",39 years old,10k-50k employees (India)
163,Schneider Electric,4.2,(1.6k Reviews),Private,Paris + 57 more,22 years old,10k-50k employees (India)
164,ICICI Lombard Gene...,3.9,(1.6k Reviews),Public,"Mumbai,Maharashtra + 155 more",20 years old,5k-10k employees (India)
165,VE Commercial Vehi...,4.1,(1.5k Reviews),Private,"Gurgaon/Gurugram,Haryana + 93 more",13 years old,1k-5k employees (India)
166,Cummins,4.3,(1.5k Reviews),"Columbus,Indiana + 70 more",59 years old,5k-10k employees (India),
167,Ecom Express,4.2,(1.5k Reviews),Private,Gurgaon + 357 more,9 years old,10k-50k employees (India)
168,Intas Pharmaceutic...,4.2,(1.5k Reviews),Private,"Ahmedabad,Gujrat + 84 more",21 years old,5k-10k employees (India)
169,CMS IT Services,3.1,(1.5k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 103 more",7 years old,5k-10k employees (Global)
170,Thermax,4.3,(1.5k Reviews),Public,"Pune,Maharashtra + 91 more",41 years old,1k-5k employees (Global)
171,DTDC Express,4.0,(1.5k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 163 more",31 years old,1k-5k employees (India)
172,L&T Construction,4.0,(1.5k Reviews),Public,Chennai + 192 more,77 years old,1 Lakh+ employees (Global)
173,Glenmark Pharmaceu...,4.2,(1.5k Reviews),Public,"Mumbai,Maharashtra + 94 more",44 years old,5k-10k employees (India)
174,ABB Group,4.0,(1.5k Reviews),Public,Zurich + 81 more,20 years old,5k-10k employees (India)
175,UST,3.9,(1.5k Reviews),Private,"Aliso Viejo,California + 25 more",20 years old,10k-50k employees (Global)
176,Bel,4.3,(1.5k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 27 more",67 years old,10k-50k employees (Global)
177,KEC International,4.2,(1.5k Reviews),Public,"Mumbai,Maharashtra + 150 more",76 years old,5k-10k employees (India)
178,Reliance Nippon Li...,3.9,(1.5k Reviews),Private,"Mumbai,Maharashtra + 345 more",21 years old,10k-50k employees (India)
179,Varun Beverages,3.9,(1.5k Reviews),Public,"Gurgaon/Gurugram,Haryana + 153 more",26 years old,1k-5k employees (Global)
180,Ipca Laboratories,4.0,(1.5k Reviews),Public,"Mumbai,Maharashtra + 85 more",72 years old,5k-10k employees (India)
181,Amdocs,3.9,(1.5k Reviews),Private,"Chesterfield,Missouri + 9 more",39 years old,5k-10k employees (India)
182,Honda Motorcycle &...,4.1,(1.5k Reviews),Private,"Gurgaon/Gurugram,Haryana + 134 more",22 years old,5k-10k employees (India)
183,Titan Company,4.4,(1.5k Reviews),Public,Mumbai + 105 more,3 years old,5k-10k employees (India)
184,Robert Bosch Engin...,4.1,(1.5k Reviews),Private,Gerlingen + 14 more,31 years old,1 Lakh+ employees (Global)
185,Indiamart Intermes...,3.8,(1.5k Reviews),Private,"Noida,Uttar Pradesh + 64 more",25 years old,1k-5k employees (Global)
186,Future Retail,4.2,(1.5k Reviews),Public,"Mumbai,Maharashtra + 168 more",34 years old,10k-50k employees (Global)
187,Alkem Laboratories,4.1,(1.5k Reviews),Public,"Mumbai,Maharashtra + 102 more",48 years old,10k-50k employees (India)
188,State Street Synte...,3.8,(1.4k Reviews),Private,Mumbai + 11 more,17 years old,10k-50k employees (Global)
189,Macleods Pharmaceu...,4.1,(1.4k Reviews),Public,"Mumbai,Maharashtra + 63 more",35 years old,5k-10k employees (Global)
190,Atos,3.9,(1.4k Reviews),Private,Bezons + 27 more,24 years old,10k-50k employees (India)
191,Indian Oil Corpora...,4.3,(1.4k Reviews),Private,"Delhi/NCR,Delhi + 143 more",62 years old,10k-50k employees (India)
192,Optum,4.1,(1.4k Reviews),Private,"Noida,Uttar Pradesh + 15 more",12 years old,1k-5k employees (India)
193,Standard Chartered...,4.0,(1.4k Reviews),Private,London + 53 more,52 years old,5k-10k employees (India)
194,Radisson Hotels,3.9,(1.4k Reviews),Private,"Minnetonka,Minnesota + 84 more",112 years old,50k-1 Lakh employees (Global)
195,Bajaj Electricals,4.1,(1.4k Reviews),Public,"Mumbai,Maharashtra + 145 more",83 years old,1k-5k employees (India)
196,Huawei Technologie...,3.7,(1.4k Reviews),Private,"Gurgaon/Gurugram,Haryana + 81 more",19 years old,501-1k employees (India)
197,Rivigo,3.8,(1.4k Reviews),Private,Gurgaon + 131 more,7 years old,1k-5k employees (India)
198,DCB Bank,3.9,(1.4k Reviews),Private,"Mumbai,Maharashtra + 185 more",91 years old,5k-10k employees (India)
199,TAFE - Tractors an...,4.1,(1.4k Reviews),Public,"Chennai,Tamil Nadu + 116 more",61 years old,1k-5k employees (India)
200,Torrent Pharmaceut...,4.1,(1.4k Reviews),Public,"Ahmedabad,Gujrat + 79 more",50 years old,5k-10k employees (India)
201,American Express,4.3,(1.4k Reviews),Private,"New York,New York + 31 more",171 years old,10k-50k employees (India)
202,Havells,4.2,(1.4k Reviews),Public,"Noida,Uttar Pradesh + 98 more",38 years old,5k-10k employees (India)
203,PepsiCo,4.2,(1.4k Reviews),Private,"Harrison,New York + 183 more",32 years old,1 Lakh+ employees (India)
204,BigBasket,4.1,(1.4k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 51 more",10 years old,1k-5k employees (India)
205,Hindalco Industrie...,4.2,(1.4k Reviews),Public,"Mumbai,Maharashtra + 59 more",63 years old,10k-50k employees (India)
206,HCL Infosystems,3.9,(1.3k Reviews),Public,"Noida,Uttar Pradesh + 93 more",45 years old,1 Lakh+ employees (Global)
207,Deutsche Bank,4.2,(1.3k Reviews),Private,Frankfurt + 27 more,151 years old,10k-50k employees (India)
208,Team Lease,4.0,(1.3k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 142 more",5 years old,1 Lakh+ employees (Global)
209,KPIT Technologies,3.3,(1.3k Reviews),Private,"Pune,Maharashtra + 19 more",31 years old,5k-10k employees (Global)
210,ACC,4.1,(1.3k Reviews),Public,"Mumbai,Maharashtra + 140 more",85 years old,5k-10k employees (India)
211,GlobalLogic,3.9,(1.3k Reviews),Private,"San Jose,California + 18 more",21 years old,5k-10k employees (India)
212,Landmark Group,4.1,(1.3k Reviews),Private,"Dubai Marina,Dubai + 91 more",48 years old,1k-5k employees (India)
213,24/7 Customer,3.6,(1.3k Reviews),Private,San Jose + 15 more,21 years old,5k-10k employees (India)
214,Pidilite Industrie...,4.4,(1.3k Reviews),Public,"Mumbai,Maharashtra + 141 more",62 years old,5k-10k employees (India)
215,Eureka Forbes,4.0,(1.3k Reviews),Private,"Mumbai,Maharashtra + 133 more",39 years old,10k-50k employees (Global)
216,Fortis Healthcare,4.1,(1.3k Reviews),Public,"Gurgaon/Gurugram,Haryana + 48 more",25 years old,10k-50k employees (Global)
217,Patanjali Ayurved,3.9,(1.3k Reviews),Private,"Haridwar,Uttarakhand + 186 more",15 years old,10k-50k employees (Global)
218,Capita,3.7,(1.3k Reviews),Private,"Indore,Madhya Pradesh + 11 more",16 years old,1k-5k employees (India)
219,Jindal Steel and P...,3.9,(1.3k Reviews),Private,"Delhi/NCR,New Delhi + 73 more",69 years old,10k-50k employees (Global)
220,DHFL,4.5,(1.3k Reviews),Public,"Mumbai,Maharashtra + 185 more",37 years old,5k-10k employees (Global)
221,Swiggy,4.1,(1.3k Reviews),Private,Bangalore + 110 more,7 years old,1k-5k employees (India)
222,Whitehat jr,3.9,(1.3k Reviews),"Mumbai,Maharashtra + 33 more",3 years old,5k-10k employees (India),
223,Randstad,4.1,(1.3k Reviews),Private,"Chennai,Tamil Nadu + 153 more",29 years old,1k-5k employees (India)
224,Ola Cabs,4.0,(1.3k Reviews),Private,Bangalore + 76 more,11 years old,1k-5k employees (India)
225,Pfizer,4.2,(1.3k Reviews),Public,"Chennai,Tamil Nadu + 85 more",17 years old,1k-5k employees (India)
226,Muthoot Finance,3.6,(1.3k Reviews),"Kochi/Cochin,Kerala + 286 more",82 years old,10k-50k employees (India),
